GeoName,Description,Unit,2019
Vermont,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,29806.2
Vermont,Chain-type quantity indexes for real GDP,Quantity index,103.158
Vermont,Current-dollar GDP (millions of current dollars),Millions of current dollars,34013.4
Vermont,Compensation (millions of dollars),Millions of current dollars,19867.1
Vermont,Gross operating surplus (millions of dollars),Millions of current dollars,10729.1
Vermont,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,3417.2
Vermont, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,3511.7
Vermont, Subsidies (millions of dollars),Millions of current dollars,-94.4
Virginia,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,489168.4
Virginia,Chain-type quantity indexes for real GDP,Quantity index,109.896
Virginia,Current-dollar GDP (millions of current dollars),Millions of current dollars,556905.2
Virginia,Compensation (millions of dollars),Millions of current dollars,321082.9
Virginia,Gross operating surplus (millions of dollars),Millions of current dollars,201264.2
Virginia,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,34558.2
Virginia, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,35795.6
Virginia, Subsidies (millions of dollars),Millions of current dollars,-1237.4
Washington,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,548686.7
Washington,Chain-type quantity indexes for real GDP,Quantity index,136.958
Washington,Current-dollar GDP (millions of current dollars),Millions of current dollars,612996.5
Washington,Compensation (millions of dollars),Millions of current dollars,314985.9
Washington,Gross operating surplus (millions of dollars),Millions of current dollars,252355
Washington,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,45655.7
Washington, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,47400.5
Washington, Subsidies (millions of dollars),Millions of current dollars,-1744.8
West Virginia,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,72340.4
West Virginia,Chain-type quantity indexes for real GDP,Quantity index,104.334
West Virginia,Current-dollar GDP (millions of current dollars),Millions of current dollars,78863.9
West Virginia,Compensation (millions of dollars),Millions of current dollars,42273.5
West Virginia,Gross operating surplus (millions of dollars),Millions of current dollars,30193.4
West Virginia,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,6396.9
West Virginia, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,6517.3
West Virginia, Subsidies (millions of dollars),Millions of current dollars,-120.4
Wisconsin,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,308044.7
Wisconsin,Chain-type quantity indexes for real GDP,Quantity index,112.204
Wisconsin,Current-dollar GDP (millions of current dollars),Millions of current dollars,349416.5
Wisconsin,Compensation (millions of dollars),Millions of current dollars,196509.2
Wisconsin,Gross operating surplus (millions of dollars),Millions of current dollars,129815.4
Wisconsin,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,23091.9
Wisconsin, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,24232.4
Wisconsin, Subsidies (millions of dollars),Millions of current dollars,-1140.5
Wyoming,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,39214
Wyoming,Chain-type quantity indexes for real GDP,Quantity index,102.019
Wyoming,Current-dollar GDP (millions of current dollars),Millions of current dollars,40420.1
Wyoming,Compensation (millions of dollars),Millions of current dollars,19296.3
Wyoming,Gross operating surplus (millions of dollars),Millions of current dollars,17410.8
Wyoming,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,3713
Wyoming, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,3806.1
Wyoming, Subsidies (millions of dollars),Millions of current dollars,-93.1
New England,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,990777.5
New England,Chain-type quantity indexes for real GDP,Quantity index,111.374
New England,Current-dollar GDP (millions of current dollars),Millions of current dollars,1135663.7
New England,Compensation (millions of dollars),Millions of current dollars,633630.4
New England,Gross operating surplus (millions of dollars),Millions of current dollars,431221.3
New England,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,70812
New England, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,73823.1
New England, Subsidies (millions of dollars),Millions of current dollars,-3011.1
Mideast,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,3336480.6
Mideast,Chain-type quantity indexes for real GDP,Quantity index,111.489
Mideast,Current-dollar GDP (millions of current dollars),Millions of current dollars,3863001
Mideast,Compensation (millions of dollars),Millions of current dollars,2065364.5
Mideast,Gross operating surplus (millions of dollars),Millions of current dollars,1530876
Mideast,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,266760.5
Mideast, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,279948.4
Mideast, Subsidies (millions of dollars),Millions of current dollars,-13187.9
Great Lakes,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,2505871.8
Great Lakes,Chain-type quantity indexes for real GDP,Quantity index,111.231
Great Lakes,Current-dollar GDP (millions of current dollars),Millions of current dollars,2846933.4
Great Lakes,Compensation (millions of dollars),Millions of current dollars,1559757.4
Great Lakes,Gross operating surplus (millions of dollars),Millions of current dollars,1097364.2
Great Lakes,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,189811.8
Great Lakes, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,199883.5
Great Lakes, Subsidies (millions of dollars),Millions of current dollars,-10071.6
Plains,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,1181310.4
Plains,Chain-type quantity indexes for real GDP,Quantity index,111.285
Plains,Current-dollar GDP (millions of current dollars),Millions of current dollars,1325462.4
Plains,Compensation (millions of dollars),Millions of current dollars,721527.4
Plains,Gross operating surplus (millions of dollars),Millions of current dollars,525986.6
Plains,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,77948.4
Plains, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,91377.1
Plains, Subsidies (millions of dollars),Millions of current dollars,-13428.7
Southeast,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,3981051.8
Southeast,Chain-type quantity indexes for real GDP,Quantity index,116.107
Southeast,Current-dollar GDP (millions of current dollars),Millions of current dollars,4531095.2
Southeast,Compensation (millions of dollars),Millions of current dollars,2462305.7
Southeast,Gross operating surplus (millions of dollars),Millions of current dollars,1753145.3
Southeast,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,315644.2
Southeast, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,328429.8
Southeast, Subsidies (millions of dollars),Millions of current dollars,-12785.6
Southwest,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,2386060.9
Southwest,Chain-type quantity indexes for real GDP,Quantity index,123.031
Southwest,Current-dollar GDP (millions of current dollars),Millions of current dollars,2521101.2
Southwest,Compensation (millions of dollars),Millions of current dollars,1314292.2
Southwest,Gross operating surplus (millions of dollars),Millions of current dollars,1032942.6
Southwest,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,173866.4
Southwest, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,180285.2
Southwest, Subsidies (millions of dollars),Millions of current dollars,-6418.8
Rocky Mountain,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,687941.6
Rocky Mountain,Chain-type quantity indexes for real GDP,Quantity index,127.251
Rocky Mountain,Current-dollar GDP (millions of current dollars),Millions of current dollars,762525.5
Rocky Mountain,Compensation (millions of dollars),Millions of current dollars,414047.9
Rocky Mountain,Gross operating surplus (millions of dollars),Millions of current dollars,303235.4
Rocky Mountain,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,45242.2
Rocky Mountain, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,47817.8
Rocky Mountain, Subsidies (millions of dollars),Millions of current dollars,-2575.6
Far West,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,3864650.3
Far West,Chain-type quantity indexes for real GDP,Quantity index,129.759
Far West,Current-dollar GDP (millions of current dollars),Millions of current dollars,4327749.6
Far West,Compensation (millions of dollars),Millions of current dollars,2245429.5
Far West,Gross operating surplus (millions of dollars),Millions of current dollars,1804864.7
Far West,Taxes on production and imports (TOPI) less subsides (millions of dollars),Millions of current dollars,277455.4
Far West, Taxes on production and imports (TOPI) (millions of dollars),Millions of current dollars,289865.1
Far West, Subsidies (millions of dollars),Millions of current dollars,-12409.7
